N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
230;000089;ГосЛПУ;Астрахань_БП;;;;08632;Областная клиническая психиатрическая  больница ГБУЗ АО г. Астрахань;07.03.2014;Областная клиническая психиатрическая  больница ГБУЗ АО г. Астрахань;;Астраханская область;;0,110;Никитина С.Ю.;100;ЛПУ;30;1,80;1,97;;;;1 704 063,02;131 202,22;1 178 100,05;98 375,05;4 060 773,61;528 251,40;3 776 857,38;537 555,32;ЖД;истина ;;Деловые Линии ООО;1;;1 460 691,20;1 089 012,94;3 725 454,52;2 749 148,72;000000215;;1 460 691,20;1 089 012,94;3 725 454,52;2 749 148,72;;;;;
231;000089;ГосЛПУ;Астрахань_БП;;;;07466;Лиманская  РБ ГБУЗ АО;03.08.2012;Лиманская  РБ ГБУЗ АО;;Астраханская область;;;Никитина С.Ю.;100;ЛПУ;;;;;49 330,31;10 629,19;59 631,04;15 354,64;71 825,17;16 097,17;68 588,40;15 148,75;18 441,42;4 106,82;ЖД;ложь ;;Желдорэкспедиция-ООО;1;;;;;;000000215;;;;;;;;;;
232;000089;ГосЛПУ;Астрахань_БП;;;;09436;Областной наркологический диспансер ГБУЗ Астраханской области;28.08.2015;Областной наркологический диспансер ГБУЗ Астраханской области;;Астраханская область;;0,110;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;307 812,91;95 955,46;586 290,13;135 247,24;;;АВТО;истина ;;ПЭК ООО;1;;;307 812,91;586 290,13;;000000215;;;;;;;;307 812,91;586 290,13;
233;000089;ГосЛПУ;Астрахань_БП;;;;08143;Министерство здравоохранения Астраханской области;01.07.2013;Министерство здравоохранения Астраханской области;;Астраханская область;;;Никитина С.Ю.;100;Опт;45;2,70;2,96;;557 546,34;147 256,57;393 926,14;71 278,84;561 057,63;149 786,77;214 770,00;19 254,00;;;АВТО;истина ;;Деловые Линии ООО;1;385 728,16;;490 529,08;;;000000215;;;490 529,08;;;385 728,16;;;;
234;000089;ГосЛПУ;Астрахань_БП;;;;09742;Наримановский ПНИ ГАСУ СО  Астраханской области;30.03.2016;Наримановский ПНИ ГАСУ СО  Астраханской области;;Астраханская область;;0,110;Шкатова В.В;50;ЛПУ;180;20,00;11,84;;;;;;;;187 898,87;59 626,96;378 418,26;102 818,41;АВТО;истина ;;ПЭК ООО;1;;;;1 915,64;378 418,26;000000215;;;;;;;;;1 915,64;378 418,26
235;000089;ГосЛПУ;Астрахань_БП;;;;10059;Старо-Волжский Психоневрологический Интернат ГК СУ СО АО;;Старо-Волжский Психоневрологический Интернат ГК СУ СО АО;;Астрахань;;;Александров А.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
236;000089;ГосЛПУ;Астрахань_БП;;;;10258;Федеральный центр сердечно-сосудистой хирургии ФГБУМинздрава России  (г. Астрахань);;Федеральный центр сердечно-сосудистой хирургии ФГБУМинздрава России  (г. Астрахань);;Астрахань;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
237;000089;ГосЛПУ;Астрахань_БП;;;;10077;Медико-санитарная часть Министерства внутренних дел Российской Федерации по Астраханской области ФКУЗ;;Медико-санитарная часть Министерства внутренних дел Российской Федерации по Астраханской области ФКУЗ;;Астрахань;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
238;000090;УО;Астрахань_УО;;;;05427;Астраханские аптеки ГП АО г. Астрахань;05.11.2009;Астраханские аптеки ГП АО г. Астрахань;;Астраханская область;;;Никитина С.Ю.;50;Опт;30;1,80;1,97;;337 775,56;68 870,46;222 747,19;61 833,96;85 550,50;10 203,82;312 154,23;29 937,87;250 692,74;31 171,44;АВТО;истина ;;Деловые Линии ООО;1;;;;;;000000215;;;;;;;;;;
239;000091;Опт + Розница;Астрахань_30;;;;07633;Астрахань-Фарм ООО г.Астрахань;16.11.2012;Астрахань-Фарм ООО г.Астрахань;;Астраханская область;;;Никитина С.Ю.;30;Опт;14;0,80;0,92;;951 718,08;81 701,58;3 582,00;264,42;;;334 477,39;22 605,50;;;ЖД;ложь ;;Желдорэкспедиция-ООО;1;;;;87 625,20;;000000215;;;;87 625,20;;;;;;
240;000092;ГосЛПУ;Белгород_БП;;;;08264;ГКБ №1 МБУЗ г. Белгород;23.07.2013;ГКБ №1 МБУЗ г. Белгород;;Белгородская область;;;Носова Е.А.;100;ЛПУ;;;;;15 351,00;3 381,00;;;;;;;;;АВТО;ложь ;;Деловые Линии ООО;1;;;;;;000000240;;;;;;;;;;
241;000092;ГосЛПУ;Белгород_БП;;;;07713;Департамент здравоохранения и социальной защиты населения Белгородской области;20.12.2012;Департамент здравоохранения и социальной защиты населения Белгородской области;;Белгородская область;;;Носова Е.А.;50;ЛПУ;180;20,00;11,84;;980 083,26;131 846,66;11 600,00;569,87;5 129,09;643,07;;;;;АВТО;истина ;;Деловые Линии ООО;1;980 083,26;;;;;000000240;;;;;;980 083,26;;;;
242;000093;Аптечные сети;Самара_30;;;;04255;Аптека 245 ООО г. Тольятти;01.01.2008;Аптека 245 ООО г. Тольятти;;Самарская область;;;Носова Е.А.;100;Аптека;30;1,80;1,97;;89 996,35;26 995,10;70 909,09;8 167,09;;;;;;;АВТО;ложь ;;Автотрейдинг-М ООО;1;;;;;;000000137;;;;;;;;;;
243;000093;Аптечные сети;Самара_30;;;;10187;Земной шар ООО;17.05.2017;Земной шар ООО;;Самарская область;;;Никитина С.Ю.;50;Аптека;;;;;;;;;;;;;73 741,92;10 425,90; -;ложь ;;ПЭК ЮГ ООО;1;;;;;;000000137;;;;;;;;;;
244;000095;УО;Брянск_УО;;;;03522;Брянскфармация ГУП г. Брянск;02.02.2007;Брянскфармация ГУП г. Брянск;;Брянская область;;;Кузьмиров В.Е.;60;Опт;60;3,60;3,95;;5 775 051,94;836 605,30;7 368 718,86;1 028 034,38;4 405 170,43;795 624,63;2 412 330,71;337 386,91;1 619 077,46;188 450,31;Самовывоз;ложь ;;* САМОВЫВОЗ *;1;;101 347,45;;;;000000147;;101 347,45;;;;;;;;
245;000096;ГосЛПУ;Брянск_БП;;;;09010;Мглинская ЦРБ, ГБУЗ;08.12.2014;Мглинская ЦРБ, ГБУЗ;;Брянская область;;;Зелинская Н.И.;100;ЛПУ;45;2,70;2,96;;;;768 096,52;74 820,32;46 519,24;-8 040,70;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;546 711,60;46 519,24;;;000000147;;;;;;;546 711,60;46 519,24;;
246;000096;ГосЛПУ;Брянск_БП;;;;09203;Брянская городская детская больница № 2 ГБУЗ;06.04.2015;Брянская городская детская больница № 2 ГБУЗ;;Брянская область;;;Носова Е.А.;50;ЛПУ;45;2,70;2,96;;;;;;268 964,04;70 387,86;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;268 964,04;;;000000147;;;;;;;;268 964,04;;
247;000096;ГосЛПУ;Брянск_БП;;;;09391;Суземский психоневрологический интернат ГБСУСО Брянской области;30.07.2015;Суземский психоневрологический интернат ГБСУСО Брянской области;;Брянская область;;;Шкатова В.В;50;ЛПУ;75;6,20;4,93;;;;;;202 525,11;19 080,17;;;;;АВТО;истина ;;ПЭК ООО;1;;;202 525,11;;;000000147;;;;;;;;202 525,11;;
248;000096;ГосЛПУ;Брянск_БП;;;;09381;Брянская ЦРБ ГБУЗ;02.03.2016;Брянская ЦРБ ГБУЗ;;Брянская область;;;Никитина С.Ю.;50;ЛПУ;30;1,80;1,97;;;;;;;;176 135,95;33 748,33;;;АВТО;истина ;;ПЭК ООО;1;;;;176 135,95;;000000147;;;;;;;;;176 135,95;
249;000096;ГосЛПУ;Брянск_БП;;;;09232;Климовская ЦРБ ГБУЗ;13.04.2015;Климовская ЦРБ ГБУЗ;;Брянская область;;;Носова Е.А.;50;ЛПУ;180;20,00;11,84;;;;;;931 462,45;92 085,21;;;;;АВТО;истина ;;;1;;;931 462,45;;;000000147;;;;;;;;931 462,45;;
250;000096;ГосЛПУ;Брянск_БП;;;;06352;Брянская областная психиатрическая больница №1 ГАУЗ;20.06.2011;Брянская областная психиатрическая больница №1 ГАУЗ;;Брянская область;;;Никитина С.Ю.;100;Опт;120;13,00;7,89;;315 809,23;36 655,89;;;580 225,85;109 664,90;;;;;АВТО;ложь ;;;1;315 809,23;;271 701,46;;;000000147;;;271 701,46;;;315 809,23;;;;
251;000096;ГосЛПУ;Брянск_БП;;;;10010;Трубчевская  центральная районная больница Брянская область г. Трубчевск;;Трубчевская  центральная районная больница Брянская область г. Трубчевск;;Брянск;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
252;000096;ГосЛПУ;Брянск_БП;;;;10105;Департамент здравоохранения Брянской области;;Департамент здравоохранения Брянской области;;Брянск;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
253;000097;Оптовики;АлтайскийКрай_ОПТ;;;;07256;Кват-Ра ООО г.Барнаул;06.03.2012;Кват-Ра ООО г.Барнаул;;Алтайский край;;;Назаренко Д.В.;70;Опт;;;;;819 949,77;91 339,07;62 590,91;6 593,41;;;20 604,68;1 414,69;;;ЖД;ложь ;;Деловые Линии ООО;1;;;;;;000000243;;;;;;;;;;
254;000098;УО;Вологда_УО;;;;03873;Фармация ГП ВО ГПТП г.Вологда;31.12.2009;Фармация ГП ВО ГПТП г.Вологда;;Вологодская область;;;Никитина С.Ю.;60;Опт;30;1,80;1,97;;433 129,79;87 410,19;599 803,98;183 791,73;473 148,58;127 003,54;326 081,23;50 029,13;728 811,57;114 109,08;АВТО;ложь ;;Деловые Линии ООО;1;;;;;;000000144;;;;;;;;;;
255;000099;ГосЛПУ;Еврейская_БП;;;;08606;Психиатрическая больница ОГБУЗ г. Биробиджан;16.01.2014;Психиатрическая больница ОГБУЗ г. Биробиджан;;Еврейская АО;;0,023;Шкатова В.В;100;ЛПУ;14;0,80;0,92;;;;976 573,04;208 580,16;1 110 571,37;94 474,19;1 910 038,75;543 934,14;1 341 776,29;286 126,57;АВИА;истина ;;ПЭК ООО;1;;957 754,04;1 110 571,37;1 910 038,75;1 341 776,29;000000213;;;;;;;957 754,04;1 110 571,37;1 910 038,75;1 341 776,29
256;000099;ГосЛПУ;Еврейская_БП;;;;09759;Биробиджанский психоневрологический интернат ОГБУ;19.04.2016;Биробиджанский психоневрологический интернат ОГБУ;;Еврейская АО;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;;;1 308 603,35;66 863,38;3 590 705,96;591 783,03;АВИА;истина ;;Аэросибсервис;1;;;;1 308 603,35;3 590 705,96;000000213;;;;;;;;;1 308 603,35;3 590 705,96
257;000099;ГосЛПУ;Еврейская_БП;;;;10323;Управление здравоохранения правительства Еврейской автономной области;13.10.2017;Управление здравоохранения правительства Еврейской автономной области;;Еврейская АО;;;Шкатова В.В;50;ЛПУ;;;;;;;;;;;;;329 274,33;34 468,95;АВТО;истина ;;ПЭК ООО;1;;;;;329 274,33;000000213;;;;;;;;;;329 274,33
258;000099;ГосЛПУ;Еврейская_БП;;;;10214;Областная больница ОГБУЗ;;Областная больница ОГБУЗ;;Биробиджан;;;Хохлова Ю.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
259;000100;УО;Еврейская_УО;;;;03880;Фармация ГП ЕАО  г.Биробиджан;01.01.2008;Фармация ГП ЕАО  г.Биробиджан;;Еврейская АО;;;Кручинкина А.И.;100;Опт;30;1,80;1,97;;168 007,79;25 648,63;;;;;120 990,85;9 064,05;639 667,34;51 142,61;АВИА;истина ;;Желдорэкспедиция-ООО;1;;;;;;000000213;;;;;;;;;;
260;000101;ГосЛПУ;Забайкалье_БП;;;;09782;МСЧ № 75 ФСИН ФКУЗ г.Чита;23.05.2016;МСЧ № 75 ФСИН ФКУЗ г.Чита;;Забайкальский край;1;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;;;175 299,74;56 599,21;;;АВИА;истина ;;Аэросибсервис;1;;;;175 299,74;;000000443;;;;;;;;;175 299,74;
261;000101;ГосЛПУ;Забайкалье_БП;;;;09012;Краевая детская клиническая больница ГУЗ г.Чита;02.12.2014;Краевая детская клиническая больница ГУЗ г.Чита;;Забайкальский край;1;;Носова Е.А.;50;ЛПУ;45;2,70;2,96;;;;;;53 503,64;5 217,33;;;;;АВИА;истина ;;;1;;;53 503,64;;;000000443;;;;;;;;53 503,64;;
262;000101;ГосЛПУ;Забайкалье_БП;;;;09003;Центр материально-технического обеспечения МО ЗК ГКУ;26.11.2014;Центр материально-технического обеспечения МО ЗК ГКУ;;Забайкальский край;1;;Носова Е.А.;50;Опт;30;1,80;1,97;;;;137 811,36;16 569,08;;;;;;;ЖД;истина ;;;1;;137 811,36;;;;000000443;;;;;;;137 811,36;;;
263;000101;ГосЛПУ;Забайкалье_БП;;;;09195;Краевая психиатрическая больница №1 ГКУЗ г.Чита;31.03.2015;Краевая психиатрическая больница №1 ГКУЗ г.Чита;;Забайкальский край;1;;Носова Е.А.;50;ЛПУ;90;7,40;5,92;;;;;;124 114,05;-42 933,85;;;;;АВИА;истина ;;;1;;;82 304,55;;;000000443;;;;;;;;82 304,55;;
264;000101;ГосЛПУ;Забайкалье_БП;;;;08541;Министерство здравоохранения Забайкальского края;28.03.2014;Министерство здравоохранения Забайкальского края;;Забайкальский край;1;;Никитина С.Ю.;100;Опт;60;3,60;3,95;;;;2 679 040,00;1 467 935,80;;;;;;; -;истина ;;"СпецсвязьФГУП ""ГЦСС""";1;;1 339 520,00;;;;000000443;;1 339 520,00;;;;;;;;
265;000101;ГосЛПУ;Забайкалье_БП;;;;10261;Краевая клиническая психиатрическая больница имени В.Х. Кандинского ГКУЗ;09.08.2017;Краевая клиническая психиатрическая больница имени В.Х. Кандинского ГКУЗ;;Забайкальский край;;;Никитина С.Ю.;80;ЛПУ;45;2,70;2,96;;;;;;;;;;148 249,12;42 936,62;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;;;148 249,12;000000443;;;;;148 249,12;;;;;
266;000101;ГосЛПУ;Забайкалье_БП;;;;10102;Забайкальский центр государственных закупок ГКУ;;Забайкальский центр государственных закупок ГКУ;;Чита;1;;Никитина С.Ю.;100;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
267;000102;Опт + Розница;Забайкалье_30;;;;09121;Ветеринарная поликлиника ЦВО ООО;02.02.2015;Ветеринарная поликлиника ЦВО ООО;;Забайкальский край;1;;Назаренко Д.В.;70;Аптека;;;;;;;;;27 600,33;3 528,03;;;;; -;ложь ;100;;1;;;;;;000000443;;;;;;;;;;
268;000104;ГосЛПУ;Иркутск_1з_БП;;;;09143;Иркутский областной психоневрологический диспансер ОГБУЗ;03.03.2015;Иркутский областной психоневрологический диспансер ОГБУЗ;;Иркутская область;1;;Носова Е.А.;100;ЛПУ;;;;;;;;;188 500,01;23 258,51;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;188 500,01;;;000000111;;;;;;;;188 500,01;;
269;000104;ГосЛПУ;Иркутск_1з_БП;;;;07711;Министерство здравоохранения Иркутской области;17.12.2012;Министерство здравоохранения Иркутской области;;Иркутская область;1;;Кузьмиров В.Е.;50;Опт;60;3,60;3,95;;487 360,63;137 154,69;1 698 072,48;205 939,08;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;487 360,63;1 698 072,48;;;;000000111;;;;;;487 360,63;1 698 072,48;;;
270;000104;ГосЛПУ;Иркутск_1з_БП;;;;10025;Иркутская областная клиническая туберкулезная больница;08.02.2017;Иркутская областная клиническая туберкулезная больница;;Иркутская область;1;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;;;;;394 447,38;69 610,94;ЖД;истина ;;ЖелдорАльянс Транспортная компания ООО;1;;;;;394 447,38;000000111;;;;;;;;;;394 447,38
271;000104;ГосЛПУ;Иркутск_1з_БП;;;;09370;Усть-Илимский Областной психоневрологический диспансер ОГБУЗ;03.05.2017;Усть-Илимский Областной психоневрологический диспансер ОГБУЗ;;Иркутская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;;;;;359 825,45;81 699,65;АВТО;истина ;;ПЭК ООО;1;;;;;359 825,45;000000111;;;;;;;;;;359 825,45
272;000104;ГосЛПУ;Иркутск_1з_БП;;;;10021;Областной онкологический диспансер ГБУЗ г.Иркутск;;Областной онкологический диспансер ГБУЗ г.Иркутск;;Иркутск;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
273;000105;ГосЛПУ;Севастополь_БП;;;;09771;Департамент здравоохранения города Севастополь;29.04.2016;Департамент здравоохранения города Севастополь;;Севастополь;1;;Никитина С.Ю.;60;Опт;30;1,80;1,97;;;;;;;;80 410,25;9 021,25;;; -;истина ;;;1;;;;;;000000599;;;;;;;;;;
274;000106;ГосЛПУ;Калининград_БП;;;;08558;Областная клиническая больница Калининградской области ГБУЗ г. Калининград;11.12.2013;Областная клиническая больница Калининградской области ГБУЗ г. Калининград;;Калининградская область;;;Кузьмиров В.Е.;70;ЛПУ;45;2,70;2,96;;104 097,74;38 967,69;;;607 080,82;56 449,28;353 258,99;43 921,10;;;АВТО;истина ;;ПЭК ООО;1;;;297 754,44;;;000000229;;;;;;;;297 754,44;;
275;000106;ГосЛПУ;Калининград_БП;;;;10074;Федеральный центр высоких медицинских технологий ФГБУ МЗ РФ (г. Калининград);;Федеральный центр высоких медицинских технологий ФГБУ МЗ РФ (г. Калининград);;Калининград;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
276;000108;Оптовики;Калининград_ОПТ;;;;07868;Консультант ООО г. Калининград;11.02.2013;Консультант ООО г. Калининград;;Калининградская область;;;Никитина С.Ю.;100;Опт;14;0,80;0,92;;1 539 972,10;354 899,54;1 121 622,59;172 237,50;1 841 087,49;317 149,96;1 786 155,55;212 618,06;962 091,59;111 915,53;АВТО;ложь ;;Логистика-Запад Транспортное Агентство ООО;1;;;;;;000000229;;;;;;;;;;
277;000108;Оптовики;Калининград_ОПТ;;;;10273;ЕвроТрейд ООО г. Калининград;10.08.2017;ЕвроТрейд ООО г. Калининград;;Калининградская область;;;Кручинкина А.И.;100;Опт;;;;;;;;;;;;;33 191,26;9 577,56; -;ложь ;;Желдорэкспедиция-ООО;1;;;;;;000000229;;;;;;;;;;
278;000108;Оптовики;Калининград_ОПТ;;;;09363;ЛИНИЯ ЖИЗНИ ООО г. Калининград;22.06.2015;ЛИНИЯ ЖИЗНИ ООО г. Калининград;;Калининградская область;;;Кручинкина А.И.;;Опт;;;;;;;;;64 900,50;9 164,24;208 020,50;19 429,66;118 500,89;8 713,40; -;ложь ;;Логистика-Запад Транспортное Агентство ООО;1;;;;;;000000229;;;;;;;;;;
279;000109;ГосЛПУ;Калуга_БП;;;;08684;Калужская областная клиническая больница ГБУЗ;02.04.2014;Калужская областная клиническая больница ГБУЗ;;Калужская область;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;546 111,60;83 176,00;;;;;;;АВТО;истина ;;Парма Медикал;1;;546 111,60;;;;000000158;;;;;;;546 111,60;;;
280;000109;ГосЛПУ;Калуга_БП;;;;09747;КБ №8 ФГБУЗ ФМБА;07.04.2016;КБ №8 ФГБУЗ ФМБА;;Калужская область;;;Шкатова В.В;50;ЛПУ;40;2,40;2,63;;;;;;;;762 718,40;88 182,32;;;АВТО;истина ;;Парма Медикал;1;;;;762 718,40;;000000158;;;;;;;;;762 718,40;
281;000109;ГосЛПУ;Калуга_БП;;;;08869;Калужская областная психиатрическая больница имени Лифшица ГБУЗ КО;18.08.2014;Калужская областная психиатрическая больница имени Лифшица ГБУЗ КО;;Калужская область;;;Шкатова В.В;100;ЛПУ;40;2,40;2,63;;;;392 132,72;17 604,00;;;73 996,37;7 836,37;150 510,55;26 082,10;АВТО;истина ;;Парма Медикал;1;;392 132,72;;73 996,37;150 510,55;000000158;;;;73 996,37;;;392 132,72;;;150 510,55
282;000109;ГосЛПУ;Калуга_БП;;;;09446;Наркологический диспансер Калужской области ГБУЗ КО;04.09.2015;Наркологический диспансер Калужской области ГБУЗ КО;;Калужская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;167 620,00;22 338,00;325 788,18;43 770,18;;;АВТО;истина ;;Парма Медикал;1;;;167 620,00;325 788,18;;000000158;;;;;;;;167 620,00;325 788,18;
283;000109;ГосЛПУ;Калуга_БП;;;;08396;Кировская ЦРБ МУЗ;11.09.2013;Кировская ЦРБ МУЗ;;Калужская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;217 060,55;50 056,55;;;;;;;;;АВТО;истина ;;Деловые Линии ООО;1;217 060,55;;;;;000000158;217 060,55;;;;;;;;;
284;000109;ГосЛПУ;Калуга_БП;;;;09649;Центр организации закупок в сфере здравоохранения ГКУ Калужской области;13.01.2016;Центр организации закупок в сфере здравоохранения ГКУ Калужской области;;Калужская область;;;Носова Е.А.;50;ЛПУ;90;7,40;5,92;;;;;;;;319 429,47;102 182,73;;;АВТО;истина ;;Парма Медикал АО;1;;;;319 429,47;;000000158;;;;;;;;;319 429,47;
285;000109;ГосЛПУ;Калуга_БП;;;;09182;Центральная районная больница Боровского района ГБУЗ КО;26.03.2015;Центральная районная больница Боровского района ГБУЗ КО;;Калужская область;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;109 934,01;26 826,45;;;;;АВТО;истина ;;ПЭК ООО;1;;;109 934,01;;;000000158;;;;;;;;109 934,01;;
286;000109;ГосЛПУ;Калуга_БП;;;;08879;ЦРБ Жуковского района ГБУЗ КО  г.Жуков, Калужская область;14.08.2014;ЦРБ Жуковского района ГБУЗ КО  г.Жуков, Калужская область;;Калужская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;379 600,85;67 697,87;65 322,54;-2 672,12;;;;;АВТО;истина ;;Парма Медикал;1;;378 000,35;65 322,54;;;000000158;;;;;;;378 000,35;65 322,54;;
287;000109;ГосЛПУ;Калуга_БП;;;;09374;ЦРБ Тарусского района ГБУЗ КО;;ЦРБ Тарусского района ГБУЗ КО;;Таруса;;;Носова Е.А.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
288;000109;ГосЛПУ;Калуга_БП;;;;10044;Министерство конкурентной политики Калужской области;;Министерство конкурентной политики Калужской области;;Калуга;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
289;000110;Оптовики;Калуга_ОПТ;;;;09256;Нордфарма ООО г. Калуга;14.04.2015;Нордфарма ООО г. Калуга;;Калужская область;;;Носова Е.А.;100;Опт;;;;;;;;;187 163,64;40 913,64;;;;;Самовывоз;ложь ;;;1;;;;;;000000158;;;;;;;;;;
290;000110;Оптовики;Калуга_ОПТ;;;;10018;Омега ООО г. Калуга;30.12.2016;Омега ООО г. Калуга;;Калужская область;;;Никитина С.Ю.;50;Опт;14;0,80;0,92;;;;;;;;;;529 176,86;101 849,91;АВТО;истина ;;Парма Медикал;1;;;;;;000000158;;;;;;;;;;
291;000110;Оптовики;Калуга_ОПТ;;;;09396;Сирена-Фарм ООО;11.07.2015;Сирена-Фарм ООО;;Калужская область;;;Никитина С.Ю.;65;Опт;;;;;;;;;427,90;110,00;;;;;АВТО;ложь ;;;1;;;;;;000000158;;;;;;;;;;
292;000112;УО;Камчатка_УО_5%;;;;03608;Камчатфармация ГУП  КК г. Петропавловск-Камчатский;22.01.2007;Камчатфармация ГУП  КК г. Петропавловск-Камчатский;;Камчатский край;;0,050;Кузьмиров В.Е.;80;Опт;70;5,70;4,60;;15 814 422,35;2 427 911,02;9 580 951,48;1 610 937,93;17 124 996,82;4 131 464,69;20 051 979,56;5 510 599,14;10 383 711,71;2 520 878,79;АВИА;истина ;;Компания КАРГО ЮНИТ ООО;1;;;;;;000000210;;;;;;;;;;
293;000112;УО;Камчатка_УО_5%;;;;03608;Камчатфармация ГУП  КК г. Петропавловск-Камчатский;22.01.2007;Камчатфармация ГУП  КК г. Петропавловск-Камчатский;;Камчатский край;;0,050;Кузьмиров В.Е.;80;Опт;70;5,70;4,60;;15 814 422,35;2 427 911,02;9 580 951,48;1 610 937,93;17 124 996,82;4 131 464,69;20 051 979,56;5 510 599,14;10 383 711,71;2 520 878,79;АВИА;истина ;;Компания КАРГО ЮНИТ ООО;1;;;;;;000000210;;;;;;;;;;
294;000113;ГосЛПУ;Камчатка_БП;;;;08944;Камчатский краевой психоневрологический диспансер;08.10.2014;Камчатский краевой психоневрологический диспансер;;Камчатский край;;;Зелинская Н.И.;100;ЛПУ;40;2,40;2,63;;;;240 839,98;10 625,38;2 104 979,90;584 595,50;;;;;АВИА;истина ;;АВИА-ПАРТНЕР ООО;1;;240 839,98;2 104 979,90;;;000000210;;;;;;;240 839,98;2 104 979,90;;
295;000113;ГосЛПУ;Камчатка_БП;;;;09365;Елизовская районная больница ГБУЗ КК;09.07.2015;Елизовская районная больница ГБУЗ КК;;Камчатский край;;;Александров А.А.;50;ЛПУ;;;;;;;;;1 020 492,81;217 286,29;;;;;АВИА;истина ;;Аэросибсервис;1;;;1 020 492,81;;;000000210;;;;;;;;1 020 492,81;;
296;000114;Оптовики;КЧР_ОПТ;;;;05467;Профит-Фарма ООО г.Черкесск;14.12.2009;Профит-Фарма ООО г.Черкесск;;Карачаево-Черкесская Респ;;;Назаренко Д.В.;50;Опт;;;;;241 343,46;38 002,86;66 127,50;3 391,50;13 272,00;1 252,00;;;;;АВТО;ложь ;;Деловые Линии ООО;1;;;;;;000000106;;;;;;;;;;
297;000115;ГосЛПУ;КЧР_БП;;;;08838;Медико-санитарная часть МБУЗ г.Черкесска;31.07.2014;Медико-санитарная часть МБУЗ г.Черкесска;;Карачаево-Черкесская Респ;;;Носова Е.А.;100;ЛПУ;40;2,40;2,63;;;;508 777,44;1 194,21;;;;;;;АВТО;истина ;;Деловые Линии ООО;1;;508 777,44;;;;000000106;;;;;;;508 777,44;;;
298;000115;ГосЛПУ;КЧР_БП;;;;09475;Министерство здравоохранения Карачаево-Черкесской Республики;09.09.2015;Министерство здравоохранения Карачаево-Черкесской Республики;;Карачаево-Черкесская Респ;;;Зелинская Н.И.;50;ЛПУ;30;1,80;1,97;;;;;;546 795,81;51 378,51;;;;;АВТО;истина ;;ПЭК ООО;1;;;546 795,81;;;000000106;;;;;;;;546 795,81;;
299;000115;ГосЛПУ;КЧР_БП;;;;09437;Психиатрическая больница РГКЛПУ  КЧР;02.09.2015;Психиатрическая больница РГКЛПУ  КЧР;;Карачаево-Черкесская Респ;;0,110;Зелинская Н.И.;100;ЛПУ;180;20,00;11,84;;;;;;455 819,71;111 112,39;689 088,20;234 056,23;;;АВТО;истина ;;ПЭК ООО;1;;;455 819,71;689 088,20;;000000106;;;;;;;;455 819,71;689 088,20;
